MMSI,Vessel Name,Vessel Type,Call Sign,IMO Number,Length,Breadth,Depth,Flag
563866000,INDUS PROSPERITY,79,9V8462,,,,,Singapore
564287000,RUTH,Tanker,9V2169,,,,,Singapore
565083000,SAFE CALEDONIA,99,9VKB8,,,,,Singapore
565112000,KIRANA QUARTYA,Tanker,9VJC3,,,,,Singapore
565186000,MAERSK KARA,Tanker,9V3814,,,,,Singapore
565237000,POSH CHAMPION,Tug,9V8180,,,,,Singapore
565302000,HOIHOW,Cargo,9V2461,,,,,Singapore
565712000,ASHLEY LADY,Tanker,9V8540,,,,,Singapore
565869000,VALLIANZ SUPREME,Tug,9V3213,,,,,Singapore
566009000,SEA PROSPERITY,Tanker,9V2704,,,,,Singapore
566141000,MAERSK KATARINA,Tanker,9V8526,,,,,Singapore
566207000,GREAT 61,Cargo,9V2142,,,,,Singapore
566241000,VANDA SUCCESS,Tanker,9V9518,,,,,Singapore
566318000,APL CHONGQING,Cargo,9V9373,,,,,Singapore
566686000,DEMURE,Tanker,9V9457,,,,,Singapore
566724000,MERLION 25,Tanker,9V9855,,,,,Singapore
566753000,HAI SOON 33,Tanker,9V9784,,,,,Singapore
566780000,MAERSK IZMIR,Cargo,9V2004,,,,,Singapore
567002940,THE BLUE DOLPHIN,69,HSB7528,,,,,Thailand
567256301,N.SALAKPET 6,Towing,,,,,,Thailand
567618000,JERA,Cargo,HSB8729,,,,,Thailand
570315000,VOEA NGAHAU KOULA,Other,A3CC,,,,,Unknown
574001750,AULAC DIAMOND,Tanker,3WJH9,,,,,Vietnam
